	Cross section of sclerenchyma fibers in plant ground tissue	0
1189	His second term was beset with troubles at home , such as the failed treason trial of his former Vice President Aaron Burr .	0
1190	With escalating trouble with Britain who was challenging American neutrality and threatening shipping at sea , he tried economic warfare with his embargo laws which only damaged American trade .	0
1191	In 1803 , President Jefferson initiated a process of Indian tribal removal and relocation to the Louisiana Territory west of the Mississippi River , in order to open lands for eventual American settlers .	0
1192	A leader in the Enlightenment , Jefferson was a polymath who spoke five languages fluently and was deeply interested in science , invention , architecture , religion and philosophy , interests that led him to the founding of the University of Virginia after his presidency .	0
1193	He designed his own large mansion on a 5,000 acre plantation near Charlottesville , Virginia , which he named Monticello .	0
1194	While not a notable orator , Jefferson was a skilled writer and corresponded with many influential people in America and Europe throughout his adult life .	0
1195	Though Jefferson owned many slaves , he opposed the institution all his life and consequently treated and took care of them very well and expected them to work no more than free farmers .	0
1196	Since 1802 historians and others have been divided over the controversy of whether Jefferson was the father of one or more children belonging to Sally Hemings , a slave at Monticello . ''	0
1197	Historians are also in disagreement with how much Jefferson was committed to the anti-slavery cause .	0
1198	In 1807 , President Jefferson signed into law a bill that banned the importation of slaves into the United States .	0
1199	After Martha Jefferson , his wife of eleven years , died in 1782 , Jefferson remained a widower for the rest of his life ; their marriage produced six children , of whom two survived to adulthood .	0
1200	Though Jefferson has been criticized by many modern day scholars over the issue of slavery , he remains rated as one of the greatest U.S. presidents .	0
1201	The Free Soil Party was a short-lived political party in the United States active in the 1848 and 1852 presidential elections , and in some state elections .	1
1202	Founded in Buffalo , New York , it was a third party and a single-issue party that largely appealed to and drew its greatest strength from New York State .	0
1203	The party leadership consisted of former anti-slavery members of the Whig Party and the Democratic Party .	0
1204	Its main purpose was opposing the expansion of slavery into the western territories , arguing that free men on free soil comprised a morally and economically superior system to slavery .	0
1205	They opposed slavery in the new territories ( agreeing with the Wilmot proviso ) and sometimes worked to remove existing laws that discriminated against freed African Americans in states such as Ohio .	0
1206	The party membership was largely absorbed by the Republican Party in 1854 .	0
1207	Steven Adler ( born Michael Coletti ; January 22 , 1965 ) is an American musician .	0
1208	He is best known as the former drummer and co-songwriter of the hard rock band Guns N ' Roses , with whom he achieved worldwide success in the late 1980s .	1
1209	Adler was fired from Guns N ' Roses over his heroin addiction in 1990 , following which he reformed his old band Road Crew and briefly joined BulletBoys , which both proved unsuccessful .	0
1210	During the 2000s , Adler was the drummer of the band Adler 's Appetite , and since 2012 , he has held the same position in the band Adler .	0
1211	He appeared on the second and fifth seasons of the reality TV show Celebrity Rehab with Dr. Drew , as well as on the first season of its spin-off Sober House .	0
1212	`` Stand by Me '' is a song originally performed by Ben E. King and written by King , Jerry Leiber , and Mike Stoller , inspired by the spiritual `` Lord Stand by Me , '' plus two lines rooted in Psalms 46:2–3 .	1
1213	There have been over 400 recorded versions of the song .	0
1214	The assassination of United States President Abraham Lincoln took place on Good Friday , April 14 , 1865 , as the American Civil War was drawing to a close .	0
1215	The assassination occurred five days after the commander of the Confederate Army of Northern Virginia , General Robert E. Lee , surrendered to Lieutenant General Ulysses S. Grant and the Union Army of the Potomac .	0
1216	Lincoln was the first American president to be assassinated , though an unsuccessful attempt had been made on Andrew Jackson 30 years before in 1835 .	0
1217	The assassination was planned and carried out by the well-known stage actor John Wilkes Booth , as part of a larger conspiracy in a bid to revive the Confederate cause .	0
1218	Booth 's co-conspirators were Lewis Powell and David Herold , who were assigned to kill Secretary of State William H. Seward , and George Atzerodt who was to kill Vice President Andrew Johnson .	0
1219	By simultaneously eliminating the top three people in the administration , Booth and his co-conspirators hoped to sever the continuity of the United States government .	0
1220	Lincoln was shot while watching the play Our American Cousin with his wife Mary Todd Lincoln at Ford 's Theatre in Washington , D.C. on the night of April 14 , 1865 .	0
1221	He died early the next morning .	0
1222	The rest of the conspirators ' plot failed ; Powell only managed to wound Seward , while Atzerodt , Johnson 's would-be assassin , lost his nerve and fled Washington .	0
1223	Elvis Aaron Presley ( January 8 , 1935 – August 16 , 1977 ) was an American singer and actor .	1
1224	A cultural icon , he is commonly known by the single name Elvis .	0
1225	One of the most popular musicians of the 20th century , he is often referred to as the `` King of Rock and Roll '' or `` the King '' .	0
1226	Born in Tupelo , Mississippi , Presley moved to Memphis , Tennessee , with his family at the age of 13 .	0
1227	He began his career there in 1954 , working with Sun Records owner Sam Phillips , who wanted to bring the sound of African-American music to a wider audience .	0
1228	Accompanied by guitarist Scotty Moore and bassist Bill Black , Presley was the most important popularizer of rockabilly , an uptempo , backbeat -driven fusion of country and rhythm and blues .	0
1229	RCA Victor acquired his contract in a deal arranged by Colonel Tom Parker , who went on to manage the singer for over two decades .	0
1230	Presley 's first RCA single , `` Heartbreak Hotel `` , released in January 1956 , was a number-one hit .	0
1231	He became the leading figure of the newly popular sound of rock and roll with a series of network television appearances and chart-topping records .	0
1232	His energized interpretations of songs , many from African-American sources , and his uninhibited performance style made him enormously popular—and controversial .	0
1233	In November 1956 , he made his film debut in Love Me Tender .	0
1234	Drafted into military service in 1958 , Presley relaunched his recording career two years later with some of his most commercially successful work .	0
1235	He staged few concerts however , and guided by Parker , proceeded to devote much of the 1960s to making Hollywood movies and soundtrack albums , most of them critically derided .	0
1236	In 1968 , after seven years away from the stage , he returned to live performance in a celebrated comeback television special that led to an extended Las Vegas concert residency and a string of profitable tours .	0
1237	In 1973 Presley staged the first concert broadcast globally via satellite , Aloha from Hawaii .	0
1238	Prescription drug abuse severely deteriorated his health , and he died suddenly in 1977 at the age of 42 .	0
1239	Presley is regarded as one of the most important figures of 20th-century popular culture .	0
1240	He had a versatile voice and unusually wide success encompassing many genres , including country , pop ballads , gospel , and blues .	0
1241	He is the best-selling solo artist in the history of popular music .	0
1242	Nominated for 14 competitive Grammys , he won three , and received the Grammy Lifetime Achievement Award at age 36 .	0
1243	He has been inducted into multiple music halls of fame .	0
1244	ARB or ARb may stand for:	0
1245	Medicine:	0
1246	Angiotensin receptor blocker ( antagonist ) , a medication for treating high blood pressure	1
1247	Military:	0
1248	Administrative Review Board , conduct annual hearings , to determine whether captives held in the Guantanamo Bay detention camps continue to represent a threat to the USA 's national security	0
1249	Air Reserve base , a United States Air Force base converted for use by the Reserves	0
1250	ARb , the United States Navy hull classification symbol for `` base repair ship ``	0
1251	ARB , the United States Navy hull classification symbol for `` battle damage repair ship ``	0
1252	Politics:	0
1253	Armee Revolutionnaire Bretonne ( Breton Revolutionary Army ) , an armed Breton Nationalist secret society that has attacked France .	0
1254	Architecture	0
1255	Architects Registration Board , for which see Architects Registration in the United Kingdom	0
1256	Science , technology , and engineering:	0
1257	Arbitrary unit	0
1258	Anti-roll bar , also known as a Sway bar	0
1259	ARB Project , for phylogenetic analysis	0
1260	Arbitron , a radio audience research company	0
1261	OpenGL Architecture Review Board , a consortium previously governing OpenGL	0
1262	ARB assembly language , a low-level shading language defined by the OpenGL Architecture Review Board	0
1263	Transportation and Geography:	0
1264	Akawaio language ( SIL code ) , a Cariban language of Guyana	0
1265	Several transportation facilities in Ann Arbor , Michigan :	0
1266	Ann Arbor Municipal Airport ( IATA airport code )	0
1267	Ann Arbor ( Amtrak station ) ( Amtrak station code )	0
1268	Arab States , UNESCO region	0
1269	Arbroath railway station , United Kingdom ( National rail code )	0
1270	Arth-Rigi-Bahn , a Swiss mountain railway	0
1271	Government:	0
1272	Administrative Review Board ( Labor ) , a unit of the United States Department of Labor	0
1273	Air Resources Board , California Environmental Protection Agency	0
1274	Earth is the third planet from the Sun , and the densest and fifth-largest of the eight planets in the Solar System .	0
1275	It is also the largest of the Solar System 's four terrestrial planets .	0
1276	It is sometimes referred to as the world or the Blue Planet .	0
1277	Earth formed approximately 4.54 billion years ago , and life appeared on its surface within its first billion years .	0
1278	Earth 's biosphere then significantly altered the atmospheric and other basic physical conditions , which enabled the proliferation of organisms as well as the formation of the ozone layer , which together with Earth 's magnetic field blocked harmful solar radiation , and permitted formerly ocean-confined life to move safely to land .	0
1279	The physical properties of the Earth , as well as its geological history and orbit , have allowed life to persist .	0
1280	Estimates on how much longer the planet will be able to continue to support life range from , to as long as .	0
1281	Earth 's lithosphere is divided into several rigid segments , or tectonic plates , that migrate across the surface over periods of many millions of years .	0
1282	About 71 % of the surface is covered by salt water oceans , with the remainder consisting of continents and islands which together have many lakes and other sources of water that contribute to the hydrosphere .	0
1283	Earth 's poles are mostly covered with ice that is the solid ice of the Antarctic ice sheet and the sea ice that is the polar ice packs .	0
1284	The planet 's interior remains active , with a solid iron inner core , a liquid outer core that generates the magnetic field , and a thick layer of relatively solid mantle .	0
1285	Earth gravitationally interacts with other objects in space , especially the Sun and the Moon .	0
1286	During one orbit around the Sun , the Earth rotates about its own axis 366.26 times , creating 365.26 solar days , or one sidereal year .	0
1287	The Earth 's axis of rotation is tilted 23.4° away from the perpendicular of its orbital plane , producing seasonal variations on the planet 's surface with a period of one tropical year ( 365.24 solar days ) .	0
1288	The Moon is Earth 's only natural satellite .	0
1289	It began orbiting the Earth about .	0
1290	The Moon 's gravitational interaction with Earth stimulates ocean tides , stabilizes the axial tilt , and gradually slows the planet 's rotation .	0
1291	The planet is home to millions of species of life , including humans .	0
1292	Both the mineral resources of the planet and the products of the biosphere contribute resources that are used to support a global human population .	0
1293	These inhabitants are grouped into about 200 independent sovereign states , which interact through diplomacy , travel , trade , and military action .	0
1294	Human cultures have developed many views of the planet , including its personification as a planetary deity , its shape as flat , its position as the center of the universe , and in the modern Gaia Principle , as a single , self-regulating organism in its own right .	0
1295	Mercury has a very tenuous and highly variable atmosphere ( surface-bound exosphere ) containing hydrogen , helium , oxygen , sodium , calcium , potassium and water vapor , with a combined pressure level of about 10−14 bar ( 1 nPa ) .	1
1296	The exospheric species originate either from the Solar wind or from the planetary crust .	0
1297	Solar light pushes the atmospheric gases away from the Sun , creating a comet-like tail behind the planet .	0
1298	The existence of a atmosphere had been contentious before 1974 , although by that time a consensus had formed that Mercury , like the Moon , lacked any substantial atmosphere .	0
1299	This conclusion was confirmed in 1974 when the Mariner 10 spacecraft discovered only a tenuous exosphere .	0
1300	Later , in 2008 , improved measurements were obtained by the MESSENGER spacecraft , which discovered magnesium in the Hermian exosphere .	0
1301	North Entrance of Westminster Abbey	0
1302	The Collegiate Church of St Peter at Westminster , popularly known as Westminster Abbey , is a large , mainly Gothic church , in the City of Westminster , London , located just to the west of the Palace of Westminster .	1
1303	It is the traditional place of coronation and burial site for English , later British and later still ( and currently ) monarchs of the Commonwealth realms .	0
1304	The abbey is a Royal Peculiar and briefly held the status of a cathedral from 1540 to 1550 .	0
1305	Westminster Abbey is a collegiate church governed by the Dean and Chapter of Westminster , as established by Royal charter of Queen Elizabeth I in 1560 , which created it as the Collegiate Church of St Peter Westminster and a Royal Peculiar under the personal jurisdiction of the Sovereign .	0
1306	The members of the Chapter are the Dean and four canons residentiary , assisted by the Receiver General and Chapter Clerk .	0
1307	One of the canons is also Rector of St Margaret 's Church , Westminster , and often holds also the post of Chaplain to the Speaker of the House of Commons .	0
1308	In addition to the Dean and canons , there are at present two full-time minor canons , one is precentor , and the other is sacrist .	0
1309	The office of Priest Vicar was created in the 1970s for those who assist the minor canons .	0
1310	Together with the clergy and Receiver General and Chapter Clerk , various lay officers constitute the college , including the Organist and Master of the Choristers , the Registrar , the Auditor , the Legal Secretary , the Surveyor of the Fabric , the Head Master of the Choir School , the Keeper of the Muniments and the Clerk of the Works , as well as 12 lay vicars , 10 choristers and the High Steward and High Bailiff .	0
1311	There are also 40 Queen 's Scholars who are pupils at Westminster School ( the School has its own Governing Body ) .	0
1312	Those who are most directly concerned with liturgical and ceremonial matters are the two minor canons and the organist and Master of the Choristers .	0
1313	In poetry , a stanza is a unit within a larger poem .	1
1314	In modern poetry , the term is often equivalent with strophe ; in popular vocal music , a stanza is typically referred to as a `` verse `` ( distinct from the refrain , or `` chorus '' ) .	0
1315	A stanza consists of a grouping of two or more lines , set off by a space , that usually has a set pattern of meter and rhyme.The stanza in poetry is analogous with the paragraph that is seen in prose , related thoughts are grouped into units .	1
1316	In traditional English-language poems , stanzas can be identified and grouped together because they share a rhyme scheme or a fixed number of lines ( as in distich / couplet , tercet , quatrain , cinquain/quintain , sestet ) .	0
1317	In much modern poetry , stanzas may be arbitrarily presented on the printed page because of publishing conventions that employ such features as white space or punctuation .	0
1318	Super Bowl XLI was an American football game between the American Football Conference ( AFC ) champion Indianapolis Colts and the National Football Conference ( NFC ) champion Chicago Bears to decide the National Football League ( NFL ) champion for the 2006 season .	0
1319	The Colts defeated the Bears by the score of 29–17 .	1
1320	The game was played on February 4 , 2007 , at Dolphin Stadium in Miami Gardens , Florida .	0
1321	This game featured two teams ending long Super Bowl appearance droughts .	0
1322	The Colts , who finished with a 12–4 regular season record , were making their first Super Bowl appearance since winning Super Bowl V in the 1970 season during the team 's tenure in Baltimore ; they had moved to Indianapolis in 1984 .	0
1323	Meanwhile , the Bears , who posted an NFC-best 13–3 regular season record , were making their first appearance since winning Super Bowl XX in the 1985 season .	0
1324	In addition , the Bears ' Lovie Smith and the Colts ' Tony Dungy both became the first African-American head coaches to coach in the Super Bowl .	0
1325	In the first Super Bowl played in rainy conditions , the Colts overcame a 14–6 first-quarter deficit to outscore the Bears 23–3 in the last three quarters .	0
1326	Chicago posted the earliest lead in Super Bowl history when returner Devin Hester ran back the opening kickoff 92 yards for a touchdown .	0
1327	But the Colts forced 5 turnovers , including cornerback Kelvin Hayden 's 56-yard interception return for a touchdown , and Indianapolis kicker Adam Vinatieri made three field goals .	0
1328	Colts quarterback Peyton Manning was named the game 's Most Valuable Player , completing 25 of 38 passes for 247 yards and a touchdown , with one interception for a passer rating of 81.8 .	0
1329	This was Manning 's first Super Bowl title after being one of the league 's most dominant quarterbacks throughout his nine-year career .	0
1330	The Major League Baseball Most Valuable Player Award ( MVP ) is an annual Major League Baseball ( MLB ) award , given to one outstanding player in the American League and one in the National League .	0
1331	Since 1931 , it has been awarded by the Baseball Writers Association of America ( BBWAA ) .	0
1332	The winners receive the Kenesaw Mountain Landis Memorial Baseball Award , which became the official name of the award in 1944 , in honor of the first MLB commissioner , who served from 1920 until his death on November 25 , 1944 .	0
1333	MVP voting takes place before the postseason , but the results are not announced until after the World Series .	0
1334	The BBWAA began by polling three writers in each league city in 1938 , reducing that number to two per league city in 1961 .	0
1335	The BBWAA does not offer a clear-cut definition of what `` most valuable '' means , instead leaving the judgment to the individual voters .	0
1336	First basemen , with 34 winners , have won the most MVPs among infielders , followed by second basemen ( 16 ) , third basemen ( 15 ) , and shortstops ( 14 ) .	0
1337	Of the 24 pitchers who have won the award , 15 are right-handed while 9 are left-handed .	0
1338	Walter Johnson , Carl Hubbell , and Hal Newhouser are the only pitchers who have won multiple times , Newhouser winning consecutively in 1944 and 1945 .	0
1339	Hank Greenberg , Stan Musial , Alex Rodriguez , and Robin Yount have won at different positions , while Rodriguez is the only player who has won the award with two different teams at two different positions .	0
1340	Barry Bonds has won the most often ( seven times ) and the most consecutively ( 2001–04 ) .	0
1341	Jimmie Foxx was the first player to win multiple times ; 9 players have won three times , and 19 have won twice .	0
1342	The award 's only tie occurred in the National League in 1979 , when Keith Hernandez and Willie Stargell received an equal number of points .	0
1343	There have been 17 unanimous winners , who received all the first-place votes .	0
1344	The New York Yankees have the most winning players with 22 , followed by the St. Louis Cardinals with 17 winners .	0
1345	The award has never been presented to a member of the following five teams : Arizona Diamondbacks , Miami Marlins , New York Mets , Tampa Bay Rays , and Washington Nationals .	0
1346	The most recent recipients are Miguel Cabrera in the American League , and Buster Posey in the National League .	0
1347	In 2011 , Justin Verlander became the first pitcher to be named the MVP since Dennis Eckersley in 1992 .	0
1348	He also became the first starting pitcher to win this award since Roger Clemens had accomplished the feat in 1986 .	0
1349	Childbirth , labour , delivery , birth , partus , or parturition is the culmination of a pregnancy period with the expulsion of one or more newborn infants from a woman 's uterus .	0
1350	The process of normal childbirth is categorized in three stages of labour : the shortening and dilation of the cervix , descent and birth of the infant , and birth of the placenta .	0
1351	In many cases and with increasing frequency , childbirth is achieved through induction of labor or caesarean section , which is the removal of the neonate through a surgical incision in the abdomen , rather than through vaginal birth .	0
1352	Childbirth by C-Sections increased 50 % in the U.S. from 1996 to 2006 , and comprise nearly 32 % of births in the U.S. and Canada .	0
1353	With respect to induced labor , more than 22 % of women undergo induction of labour in the United States .	0
1354	Medical professional policy makers find that induced births and elective cesarean can be harmful to the fetus and neonate as well as harmful or without benefit to the mother , and have established strict guidelines for non-medically indicated induced births and elective cesarean before 39 weeks .	0
1355	An alveolus ( plural : alveoli , from Latin alveolus , `` little cavity '' ) is an anatomical structure that has the form of a hollow cavity .	0
1356	Found in the lung parenchyma , the pulmonary alveoli are the terminal ends of the respiratory tree , which outcrop from either alveolar sacs or alveolar ducts , which are both sites of gas exchange with the blood as well .	0
1357	Alveoli are particular to mammalian lungs .	0
1358	Different structures are involved in gas exchange in other vertebrates .	0
1359	The alveolar membrane is the gas-exchange surface .	0
1360	Carbon dioxide rich blood is pumped from the rest of the body into the alveolar blood vessels where , through diffusion , it releases its carbon dioxide and absorbs oxygen .	0
1361	Grease is a 1978 American musical film directed by Randal Kleiser and produced by Paramount Pictures .	0
1362	It is based on Warren Casey 's and Jim Jacobs 's 1971 musical of the same name about two lovers in a 1950s high school .	0
1363	The film stars John Travolta , Olivia Newton-John , Stockard Channing , and Jeff Conaway .	0
1364	It was successful both critically and at the box office ; ended 1978 as the second-best selling album of the year in the United States , behind the soundtrack of Saturday Night Fever , another film starring Travolta .	0
1365	A sequel , Grease 2 , was released in 1982 , starring Maxwell Caulfield and Michelle Pfeiffer .	0
1366	Only a few of the original cast members reprised their roles .	0
1367	In the United States , it is the number # 1 highest-grossing musical , to date .	0
1368	A board of directors is a body of elected or appointed members who jointly oversee the activities of a company or organization .	0
1369	Other names include board of governors , board of managers , board of regents , board of trustees , and board of visitors .	0
1370	It is often simply referred to as `` the board '' .	0
1371	A board 's activities are determined by the powers , duties , and responsibilities delegated to it or conferred on it by an authority outside itself .	0
1372	These matters are typically detailed in the organization 's bylaws .	0
1373	The bylaws commonly also specify the number of members of the board , how they are to be chosen , and when they are to meet .	0
1374	In an organization with voting members , e.g. , a professional society , the board acts on behalf of , and is subordinate to , the organization 's full assembly , which usually chooses the members of the board .	0
1375	In a stock corporation , the board is elected by the stockholders and is the highest authority in the management of the corporation .	0
1376	In a non-stock corporation with no general voting membership , e.g. , a typical university , the board is the supreme governing body of the institution ; its members are sometimes chosen by the board itself .	0
1377	Typical duties of boards of directors include:	0
1378	governing the organization by establishing broad policies and objectives ;	0
1379	selecting , appointing , supporting and reviewing the performance of the chief executive ;	0
1380	ensuring the availability of adequate financial resources ;	0
1381	approving annual budgets ;	0
1382	accounting to the stakeholders for the organization 's performance ;	0
1383	setting the salaries and compensation of company management .	0
1384	The legal responsibilities of boards and board members vary with the nature of the organization , and with the jurisdiction within which it operates .	0
1385	For companies with publicly trading stock , these responsibilities are typically much more rigorous and complex than for those of other types .	0
1386	Typically the board chooses one of its members to be the chairman , who holds whatever title is specified in the bylaws .	0
1387	The 2010 FIFA World Cup was the 19th FIFA World Cup , the world championship for men 's national association football teams .	0
1388	It took place in South Africa from 11 June to 11 July 2010 .	0
1389	The bidding process for hosting the tournament finals was open only to African nations ; in 2004 , the international football federation , FIFA , selected South Africa over Egypt and Morocco to become the first African nation to host the finals .	0
1390	The matches were played in ten stadiums in nine host cities around the country , with the final played at the Soccer City stadium in South Africa 's largest city , Johannesburg .	0
1391	Thirty-two teams were selected for participation via a worldwide qualification tournament that began in August 2007 .	0
1392	In the first round of the tournament finals , the teams competed in round-robin groups of four teams for points , with the top two teams in each group proceeding .	0
1393	These sixteen teams advanced to the knockout stage , where three rounds of play decided which teams would participate in the final .	0
1394	In the final , Spain , the European champions , defeated third-time finalists the Netherlands 1–0 after extra time , with Andrés Iniesta 's goal in the 116th minute giving Spain their first world title , becoming the eighth nation to win the tournament , and the first European nation to win the tournament outside its home continent .	1
1395	Host nation South Africa , 2006 world champions Italy and 2006 runners-up France were all eliminated in the first round of the tournament .	0
1396	It was the first time that the hosts were eliminated in the first round .	0
1397	New Zealand with their three draws were the only undefeated team in the tournament , but were also eliminated in the first round .	0
1398	The avocado ( Persea americana ) is a tree native to Central Mexico , classified in the flowering plant family Lauraceae along with cinnamon , camphor and bay laurel .	0
1399	Avocado or alligator pear also refers to the fruit ( botanically a large berry that contains a single seed ) of the tree .	1
1400	Avocados are commercially valuable and are cultivated in tropical and Mediterranean climates throughout the world .	0
1401	They have a green-skinned , fleshy body that may be pear-shaped , egg-shaped , or spherical .	0
1402	Commercially , it ripens after harvesting .	0
1403	Trees are partially self-pollinating and often are propagated through grafting to maintain a predictable quality and quantity of the fruit .	0
1404	`` What Would You Do ? '' is the title of a song recorded by American R & B / hip hop trio City High .	0
1405	It was released in February 2001 as the lead single from their self-titled debut album .	0
1406	The track was originally included on the 1999 soundtrack of the film Life , starring Eddie Murphy and Martin Lawrence .	0
1407	It is the group 's most successful single to date , peaking at number 8 on the U.S . Billboard Hot 100 , Number One on Billboard Hot Rap Singles , Number 13 on Billboard Hot R & B/Hip-Hop Singles & Tracks and number three in the United Kingdom .	0
1408	The version of the song on their debut album differs from that included on the Life Soundtrack as it features a sample of Dr. Dre 's hit song , `` The Next Episode `` .	0
1409	The Life soundtrack version of the song does not contain the Dr. Dre sample .	0
1410	Alligators are known for their large mouths and sharp teeth	0
1411	In animal anatomy , the mouth is the first portion of the alimentary canal that receives food .	0
1412	The adjectival form is `` buccal '' derived from Latin bucca ( lit .	0
1413	`` cheek '' ) , hence `` buccal cavity '' , `` buccal nerve '' , `` buccal artery '' , etc .	0
1414	Some animal phyla , including vertebrates , have a complete digestive system , with a mouth at one end and an anus at the other .	0
1415	Which end forms first in ontogeny is a criterion used to classify animals into protostome and deuterostome .	0
1416	In humans , the first space of the mouth is the mouth cavity , bounded laterally and anteriorly by the alveolar arches ( containing the teeth ) , and posteriorly by the isthmus of the fauces .	0
1417	The following table of United States cities by crime rate is based on Federal Bureau of Investigation Uniform Crime Reports statistics .	0
1418	The population numbers are based on U.S. Census estimates for the year end .	0
1419	The number of murders includes nonnegligent manslaughter .	0
1420	This list is based on the reporting .	0
1421	In most cases the city and the reporting agency are identical .	0
1422	However , in some cases such as Charlotte , Honolulu , and Las Vegas , the reporting agency has more than one municipality .	0
1423	Murder is the only statistic that all agencies are required to report .	0
1424	Consequently some agencies do not report all the crimes .	0
1425	If components are missing the total is adjusted to 0 .	0
1426	Costa Rica ( , meaning `` rich coast '' in Spanish ) , officially the Republic of Costa Rica ( or ' , ) , is a country in Central America , bordered by Nicaragua to the north , Panama to the southeast , the Pacific Ocean to the west , and the Caribbean Sea to the east .	0
1427	Costa Rica constitutionally abolished its army permanently in 1949 .	0
1428	It is the only Latin American country in the list of the world 's 22 older democracies .	0
1429	Costa Rica has consistently been among the top Latin American countries in the Human Development Index ( HDI ) , ranked 62nd in the world in 2012 .	0
1430	Costa Rica was cited by the United Nations United Nations Development Programme ( UNDP ) in 2010 as one of the countries that have attained much higher human development than other countries at the same income levels , and in 2011 was highlighted by UNDP for being a good performer on environmental sustainability and having a better record on human development and inequality than the median of their region .	0
1431	It was also the only country to meet all five criteria established to measure environmental sustainability .	0
1432	The country is ranked fifth in the world , and first among the Americas , in terms of the 2012 Environmental Performance Index .	0
1433	In 2007 , the Costa Rican government announced plans for Costa Rica to become the first carbon-neutral country by 2021 .	0
1434	The New Economics Foundation ( NEF ) ranked Costa Rica first in its 2009 Happy Planet Index , and once again in 2012 .	0
1435	The NEF also ranked Costa Rica in 2009 as the greenest country in the world .	0
1436	In 2012 Costa Rica became the first country in the American continent to ban recreational hunting after the country’s legislature approved the popular measure by a wide margin .	0
1437	Mamma Mia !	0
1438	is a stage musical written by British playwright Catherine Johnson , based on the songs of ABBA , composed by Benny Andersson and Björn Ulvaeus , former members of the band .	0
1439	The title of the musical is taken from the group 's 1975 chart-topper `` Mamma Mia `` .	0
1440	Björn Ulvaeus and Benny Andersson , who composed the original music for ABBA , were involved in the development of the show from the beginning .	0
1441	Anni-Frid Lyngstad has been involved financially in the production and she has also been present at many of the premieres around the world .	0
1442	The musical includes such hits as `` Super Trouper `` , `` Lay All Your Love On Me `` , `` Dancing Queen `` , `` Knowing Me , Knowing You `` , `` Take A Chance On Me `` , `` Thank You for the Music `` , `` Money , Money , Money `` , `` The Winner Takes It All `` , `` Voulez Vous `` and `` SOS `` .	0
1443	Over 42 million people have seen the show , which has grossed $ 2 billion dollars worldwide since its 1999 debut .	0
1444	A film adaptation starring Meryl Streep , Colin Firth , Pierce Brosnan , Amanda Seyfried , Christine Baranski , Stellan Skarsgård and Julie Walters was released in July 2008 .	0
1445	True Grit is a 1969 American western film written by Marguerite Roberts and directed by Henry Hathaway .	0
1446	The picture is the first adaptation of Charles Portis ' 1968 novel True Grit .	0
1447	John Wayne stars as U.S . Marshal Rooster Cogburn and won his only Academy Award for his performance in this film .	1
1448	Wayne reprised his role as Cogburn in the 1975 sequel Rooster Cogburn .	0
1449	Historians believe Rooster was based on deputy U.S. marshal Heck Thomas who brought in some of the toughest outlaws .	0
1450	The supporting cast features Glen Campbell , Kim Darby , Robert Duvall , Dennis Hopper and Strother Martin .	0
1451	The Chevrolet Monte Carlo was an American-made two-door coupe introduced for model year 1970 , and manufactured over six generations through model year 2007 .	0
1452	It was marketed as a personal-luxury coupe through most of its history , with the last model version being classified as a full-sized coupe .	0
1453	When it was discontinued in 2007 , it had outlived many competitors that were either discontinued many years earlier or changed in concept to either a four-door sedan or small sport coupe .	0
1454	The Monte Carlo endured six design generations .	0
1455	The first four ( 1970–72 , 1973–77 , 1978–80 and 1981–88 ) were of a rear-wheel-drive , V8-powered ( V6 available beginning in 1978 ) coupe style , utilizing separate body-on-frame construction .	0
1456	The later rear-wheel-drive generations bucked the trend of unit-body construction , along with smaller engines , that became more prevalent in the early 1980s as automakers downsized their vehicle lines to meet increasing stringent fuel-economy regulations in the aftermath of two energy crises that led to gasoline shortages and skyrocketing pump prices in 1973-74 and 1979-80 .	0
1457	Despite those trends , the Monte Carlo remained a popular seller and even regained the SS version ( initially offered for 1970-71 with 454 cubic-inch V8 ) from mid-1983 to 1988 with a high-performance 305-cubic-inch V8 .	0
1458	Following a several year hiatus following the discontinuation of the rear-drive Monte Carlo after 1988 , the nameplate was revived for 1995 on a front-drive , V6-powered coupe based on the Chevrolet Lumina sedan .	0
1459	It was succeeded by the sixth and final-generation Monte Carlo in 2000 that was built alongside the Chevrolet Impala , which succeeded the Lumina as Chevy 's mid-sized sedan .	0
1460	The Monte Carlo SS was revived from 2000 to 2007 and initially powered by 3.8-liter V6 ( supercharged in 2004–2005 ) , later to be replaced by a 5.3-liter V8 for 2006–2007 .	1
1461	Scottsdale ( O'odham Vaṣai S-vaṣonĭ ; Yaqui Eskatel ) is a city in the eastern part of Maricopa County , Arizona , United States , adjacent to Phoenix .	1
1462	According to the U.S. Census Bureau , as of 2010 the population of the city was 217,385 .	0
1463	The New York Times described downtown Scottsdale as `` a desert version of Miami 's South Beach `` and as having `` plenty of late night partying and a buzzing hotel scene '' .	0
1464	Scottsdale is bordered to the west by Phoenix and Paradise Valley , to the north by Carefree , to the south by Tempe , and to the east by Fountain Hills and the Salt River Pima-Maricopa Indian Community .	0
1465	In political philosophy the social contract or political contract is a theory or model , originating during the Age of Enlightenment , that typically addresses the questions of the origin of society and the legitimacy of the authority of the state over the individual .	0
1466	Social contract arguments typically posit that individuals have consented , either explicitly or tacitly , to surrender some of their freedoms and submit to the authority of the ruler or magistrate ( or to the decision of a majority ) , in exchange for protection of their remaining rights .	0
1467	The question of the relation between natural and legal rights , therefore , is often an aspect of social contract theory .	0
